feature,perm_importance_mean,perm_importance_std
O1,0.12057792318425177,0.005383286691818288
P7,0.10561983012060588,0.005322401838323984
F7,0.10534853646582722,0.004433987339959014
F8,0.07474077893537556,0.003320273622853882
AF3,0.04673588234985081,0.0026244288221518594
F4,0.038351042550908016,0.002054624461988992
FC6,0.0330793623630905,0.001139967077541783
O2,0.03179409122329835,0.002037007782414168
T8,0.025267251945237008,0.0015313261550116404
F3,0.024950219798447516,0.0017747526621012498
AF4,0.0238706292682818,0.0016377639892558931
T7,0.021054357052952125,0.001688714442605621
FC5,0.01971072317704654,0.0018986750149378943
P8,0.00737757222726354,0.0007805415648305834
