model,variant,quantization_ok,pruning_ok,accuracy,balanced_accuracy,precision,recall,f1,f0_5,roc_auc,tn,fp,fn,tp,false_alarms_per_hour_window_level,processed_prob_mean,threshold_low,postprocess_smoothing,postprocess_hysteresis,loss,bench_mean_batch_time_ms,bench_latency_ms_per_sample,bench_tta_enabled,bench_oom_during_benchmark,pruning_amount,pruned_layers,reason
CNN_BiLSTM_Attention,fp32_cpu,False,False,0.5302197802197802,0.5032679738562091,0.06679764243614932,0.4722222222222222,0.11703958691910499,0.08064516129015764,0.503921568627451,545,475,38,34,100219.78021978022,0.7022579547129011,0.7000000000000001,True,True,0.49464192390441897,29.09675994887948,0.13322692284285478,False,False,,,
CNN_BiLSTM_Attention,pruned_fp32_cpu,False,True,0.6089743589743589,0.37116013071895426,0.018970189701897018,0.09722222222222222,0.031746031746031744,0.022609819121225283,0.44746732026143793,658,362,65,7,76378.02197802198,0.6687260017247827,0.7000000000000001,True,True,0.4206423759460449,28.168340027332306,0.12897591587606366,False,False,0.2,6.0,l1_unstructured
CNN_BiLSTM_Attention,pruned_int8_cpu,True,True,0.6163003663003663,0.37508169934640523,0.019390581717451522,0.09722222222222222,0.03233256351039261,0.023087071239879346,0.4476988017429193,666,354,65,7,74690.10989010989,0.6682623122341503,0.7000000000000001,True,True,0.41926519870758056,102.10737995803356,0.4675246335074797,False,False,0.2,6.0,dynamic_int8
EEGNet,fp32_cpu,False,False,0.9340659340659341,0.5,0.0,0.0,0.0,0.0,0.5337418300653595,1020,0,72,0,0.0,0.47031103702726523,0.44,True,True,0.11199152022600174,41.84715999290347,0.19160787542538218,False,False,,,
EEGNet,pruned_fp32_cpu,False,True,0.18864468864468864,0.2687908496732026,0.03002309468822171,0.3611111111111111,0.05543710021321962,0.03676470588225321,0.5200299564270152,180,840,46,26,177230.76923076925,0.47380707524110977,0.44,True,True,0.11421017795801162,32.936340011656284,0.15080741763578884,False,False,0.2,7.0,l1_unstructured
EEGNet,pruned_int8_cpu,True,True,0.18864468864468864,0.2687908496732026,0.03002309468822171,0.3611111111111111,0.05543710021321962,0.03676470588225321,0.5200299564270152,180,840,46,26,177230.76923076925,0.47380707524110977,0.44,True,True,0.11421017795801162,33.19980017840862,0.15201373708062557,False,False,0.2,7.0,dynamic_int8
EEGNet_Plus,fp32_cpu,False,False,0.532967032967033,0.31756535947712417,0.011160714285714286,0.06944444444444445,0.019230769230769232,0.0134120171671963,0.36075708061002176,577,443,67,5,93468.13186813187,0.49521822490387374,0.49999999999999994,True,True,0.31201273798942564,115.69191990420222,0.5297249079862739,False,False,,,
EEGNet_Plus,pruned_fp32_cpu,False,True,0.48443223443223443,0.3690359477124183,0.03238095238095238,0.2361111111111111,0.05695142378559464,0.03913443830554877,0.42114651416122,512,508,55,17,107182.41758241759,0.5425852487672486,0.49999999999999994,True,True,0.3253834187984467,115.34639988094568,0.5281428565977366,False,False,0.2,16.0,l1_unstructured
EEGNet_Plus,pruned_int8_cpu,True,True,0.48443223443223443,0.3690359477124183,0.03238095238095238,0.2361111111111111,0.05695142378559464,0.03913443830554877,0.42114651416122,512,508,55,17,107182.41758241759,0.5425852487672486,0.49999999999999994,True,True,0.3253834187984467,115.1210400275886,0.5271109891373105,False,False,0.2,16.0,dynamic_int8
