Channel,Delta,Theta,Alpha,Beta,Gamma,Total_Power,Dominant_Band
AF3,7842643275.16394,1367666274.989726,973466292.09049,1089580795.6279008,305395934.7519351,25270745906.0617,Delta
F7,8001627798.127711,1127632905.365224,854419888.9504594,1013921749.3141693,335591976.9538585,31879614427.626614,Delta
F3,3312055424.94349,973004501.5389566,711406737.839311,991810030.2251151,263747018.61324045,11051714621.367062,Delta
FC5,5343776332.935584,695070956.1293936,494264176.5906018,733517951.4994957,272308539.9191553,13362468081.182507,Delta
T7,1227645006.3097658,281643212.9910406,273645605.1390686,386874746.01762587,194113765.04761586,6799091805.448293,Delta
P7,1247031890.6011648,299495086.1417964,278678105.8104213,463104752.30303407,183828213.39923012,6933938982.7201185,Delta
O1,1552888166.6109962,434445305.9313508,476826627.83265716,542623611.2676152,205716016.96122962,20152074288.56868,Delta
O2,1704737429.4987457,509616051.22729254,909607810.5037535,1198819006.6040857,385875421.0309423,10478395420.216543,Delta
P8,1678601084.6263323,645591298.0177741,1158355514.3302994,1777463224.327029,793161801.4947777,10122854523.084896,Beta
T8,2056355928.9991546,713404739.3098396,1099631627.4567885,1212011657.451762,426270004.2295666,10944377475.374863,Delta
FC6,3128026821.1445203,635591468.6708305,883575268.03498,993833924.377328,289843762.8903925,14002494346.585026,Delta
F4,1898368041.219451,697703170.2905698,726319234.0975622,1030721749.4905126,249597631.5746621,9840782482.111298,Delta
F8,4186850832.084465,922218314.3851252,1116241171.4932022,1234499024.8873222,344125715.6256977,20201170625.248466,Delta
AF4,6473810996.266159,1127760073.199523,1004094625.2489831,1370622590.873515,461177330.95528084,25523373575.29397,Delta
